친구번호,색깔,과목,동물,좋아하는음식,여가활동
1,빨강,체육,강아지,치킨,축구/운동
2,파랑,과학,고양이,피자,게임
3,초록,미술,토끼,떡볶이,그림그리기
4,노랑,음악,햄스터,마라탕,유튜브 시청
5,빨강,체육,호랑이,치킨,게임
6,노랑,수학,강아지,돈가스,만들기/블록
7,초록,과학,판다,라면,웹툰 보기
8,노랑,사회,고양이,떡볶이,친구와 놀기
9,초록,미술,돌고래,탕수육,음악 듣기
10,파랑,실과,강아지,치킨,컴퓨터/코딩
11,보라,국어,고양이,피자,독서/글쓰기
12,분홍,음악,토끼,마라탕,노래/춤
13,파랑,체육,치타,삼겹살,축구/운동
14,하늘,영어,돌고래,초밥,유튜브 시청
15,빨강,체육,사자,치킨,게임
16,주황,미술,여우,떡볶이,그림그리기
17,초록,과학,공룡,햄버거,레고 조립
18,노랑,수학,강아지,피자,보드게임
19,파랑,실과,고양이,치킨,로봇/코딩
20,보라,음악,펭귄,스파게티,악기 연주
21,빨강,체육,강아지,삼겹살,자전거 타기
22,초록,사회,수달,라면,유튜브 시청
23,파랑,과학,고래,돈가스,우주/과학탐구
24,분홍,미술,토끼,마라탕,다이어리 꾸미기
25,하양,도덕,백곰,짜장면,영화 보기
